Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
TWOU,"2U, Inc.",43.32,2059542270,n/a,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou
JOBS,"51job, Inc.",43.94,1177300722,26793371,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs
ABMD,"ABIOMED, Inc.",140.65,6163188765,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd
ACHC,"Acadia Healthcare Company, Inc.",45.4,3986933250,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc
ACAD,ACADIA Pharmaceuticals Inc.,27.25,3325765545,n/a,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad
ACIW,"ACI Worldwide, Inc.",22.98,2712613823,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw
ACXM,Acxiom Corporation,26.64,2091441372,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm
AEIS,"Advanced Energy Industries, Inc.",78.26,3112649145,n/a,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeis
AGIO,"Agios Pharmaceuticals, Inc.",50.73,2445433461,n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agio
AGNC,AGNC Investment Corp.,21.37,7074454665,n/a,2008,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agnc
AGNCB,AGNC Investment Corp.,26.36,9132424188,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncb
AKAM,"Akamai Technologies, Inc.",49.63,8579705849,n/a,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/akam
AKRX,"Akorn, Inc.",33.44,4165128162,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akrx
ALKS,Alkermes plc,58.61,8978495264,n/a,1991,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alks
ALGT,Allegiant Travel Company,142.7,2374077496,n/a,2006,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/algt
MDRX,"Allscripts Healthcare Solutions, Inc.",12.47,2262863599,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/mdrx
ALNY,"Alnylam Pharmaceuticals, Inc.",74.31,6404793168,n/a,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alny
AYA,Amaya Inc.,17.6,2579635555,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/aya
AMCX,AMC Networks Inc.,56.52,3763866768,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/amcx
DOX,Amdocs Limited,64.86,9499006440,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/dox
AMED,Amedisys Inc,63.48,2141070960,n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amed
UHAL,Amerco,350.51,6872725772,n/a,n/a,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/uhal
ANAT,American National Insurance Company,116.65,3140953478,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/anat
AMKR,"Amkor Technology, Inc.",11.09,2650673311,n/a,1998,Technology,Semiconductors,http://www.nasdaq.com/symbol/amkr
AFSI,"AmTrust Financial Services, Inc.",13.85,2705538582,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afsi
ARCC,Ares Capital Corporation,16.42,6999832289,n/a,2004,n/a,n/a,http://www.nasdaq.com/symbol/arcc
ARRS,ARRIS International plc,28.93,5432529673,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/arrs
AZPN,"Aspen Technology, Inc.",57.19,4260424524,n/a,1994,Technology,EDP Services,http://www.nasdaq.com/symbol/azpn
ATHN,"athenahealth, Inc.",141.35,5630554558,n/a,2007,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/athn
ABY,Atlantica Yield plc,21.3,2134627638,n/a,2014,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/aby
TEAM,Atlassian Corporation Plc,34.63,7808213829,n/a,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/team
AVXS,"AveXis, Inc.",72.85,2024833550,n/a,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/avxs
BCPC,Balchem Corporation,82.9,2641768000,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/bcpc
OZRK,Bank of the Ozarks,48.34,6196857016,n/a,1997,Finance,Major Banks,http://www.nasdaq.com/symbol/ozrk
BECN,"Beacon Roofing Supply, Inc.",49.85,3005131827,n/a,2004,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/becn
BBBY,Bed Bath & Beyond Inc.,36.19,5215665380,n/a,1992,Consumer Services,Home Furnishings,http://www.nasdaq.com/symbol/bbby
BGCP,"BGC Partners, Inc.",12.41,3535945621,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/bgcp
TECH,Bio-Techne Corp,111.36,4157458449,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/tech
BIVV,Bioverativ Inc.,58.25,6300311379,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bivv
BLKB,"Blackbaud, Inc.",86.51,4155709332,n/a,2004,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/blkb
BBRY,BlackBerry Limited,10.84,5761195818,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/bbry
HAWK,"Blackhawk Network Holdings, Inc.",43.05,2425006500,n/a,2013,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/hawk
BLMN,"Bloomin&#39; Brands, Inc.",21.08,2112891445,n/a,2012,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/blmn
BUFF,"Blue Buffalo Pet Products, Inc.",24.03,4729472068,n/a,2015,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/buff
BLUE,"bluebird bio, Inc.",112.6,4610986440,n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/blue
