Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
DDD,3D Systems Corporation,20.47,2329703985,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ddd
WUBA,58.com Inc.,42.15,6123771054,n/a,2013,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/wuba
AAN,"Aaron&#39;s,  Inc.",39.54,2869746022,n/a,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aan
ABM,ABM Industries Incorporated,41.4,2308863179,n/a,n/a,Finance,Diversified Commercial Services,http://www.nasdaq.com/symbol/abm
AKR,Acadia Realty Trust,28.88,2447010717,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/akr
AYI,Acuity Brands Inc,179.25,7545078116,n/a,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/ayi
ADNT,Adient plc,65.83,6168070482,n/a,2016,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/adnt
ATGE,Adtalem Global Education Inc.,38.2,2392903619,n/a,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/atge
AAP,Advance Auto Parts Inc,131.63,9720173912,n/a,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/aap
ADSW,"Advanced Disposal Services, Inc.",23.41,2066289503,n/a,2016,Public Utilities,Environmental Services,http://www.nasdaq.com/symbol/adsw
ACM,AECOM,33.57,5227986486,n/a,2007,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/acm
AER,Aercap Holdings N.V.,45.66,7755391135,n/a,2006,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aer
AMG,"Affiliated Managers Group, Inc.",161.85,9161111712,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/amg
AGCO,AGCO Corporation,66.93,5320551491,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/agco
AL,Air Lease Corporation,38.24,3945012430,n/a,2011,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/al
